BX,BY,EX,EY,M
1832,825,1873,900,85.47514259
1817,960,1889,980,74.72616677
1816,935,1890,980,86.60831369
1810,940,1890,978,88.5663593
1807,975,1888,980,81.15417426
1798,970,1889,980,91.54780172
1745,833,1839,852,95.90099061
1741,810,1840,854,108.3374358
1739,1171,1866,1190,128.4133949
1735,846,1839,852,104.1729331
1735,815,1840,852,111.3283432
1729,1429,1770,1467,55.90169944
1726,846,1839,852,113.1591799
1655,1480,1695,1490,41.23105626
1651,998,1811,1026,162.431524
1631,730,1727,746,97.32420048
1605,1359,1717,1385,114.9782588
1594,1271,1712,1287,119.0798052
1581,1673,1590,1690,19.23538406
1574,1139,1713,1131,139.2300255
1562,783,1691,739,136.2974688
1556,1204,1707,1258,160.3652082
1555,481,1685,509,132.9812017
1548,381,1642,397,95.35197953
1532,946,1694,1004,172.0697533
1494,786,1669,818,177.9016582
1485,312,1445,305,40.60788101
1474,302,1460,294,16.1245155
1446,1346,1590,1355,144.2809759
1439,473,1578,469,139.057542
1426,781,1593,799,167.9672587
1377,350,1515,350,138
1372,1196,1516,1205,144.2809759
1346,441,1437,465,94.11163584
1339,768,1511,787,173.0462366
1336,773,1513,788,177.6344561
1336,1101,1510,1121,175.1456537
1329,697,1379,805,119.0126044
1327,779,1512,786,185.1323851
1324,769,1509,784,185.6071119
1270,1622,1355,1677,101.2422837
1244,1151,1445,1162,201.30077
1243,771,1420,785,177.552809
1238,1679,1339,1695,102.2594739
1234,1674,1334,1699,103.0776406
1154,1647,1138,1693,48.70318265
1126,1087,1337,1097,211.2368339
1121,1102,1330,1096,209.0861067
1112,331,1288,333,176.0113633
1111,147,1203,155,92.34717104
1094,377,1217,433,135.1480669
1088,1451,1327,1465,239.4096907
1053,407,1247,420,194.4350791
1052,414,1248,421,196.1249602
1013,1041,1218,1078,208.3122656
1010,313,1152,320,142.1724305
996,330,1147,319,151.4001321
989,1169,1181,1181,192.3746345
938,930,1145,973,211.4190152
921,1279,1097,1284,176.0710084
897,515,1092,515,195
815,378,1051,362,236.5417511
741,763,935,766,194.0231945
728,1232,917,1283,195.7600572
639,320,777,311,138.2931669
637,795,836,784,199.3037882
607,744,798,732,191.3765921
585,451,736,437,151.6476179
570,777,735,773,165.0484777
533,560,693,548,160.449369
525,575,687,560,162.6929624
516,1327,667,1324,151.0297984
503,686,673,668,170.9502852
497,1001,682,991,185.2700731
455,1105,617,1099,162.111073
428,469,592,468,164.0030488
414,714,585,707,171.1432149
413,1205,576,1194,163.370744
378,688,506,687,128.0039062
348,679,481,658,134.6476884
334,580,455,567,121.6963434
332,1503,395,1502,63.00793601
329,841,449,813,123.2233744
326,1330,431,1328,105.0190459
315,1212,435,1205,120.2039933
306,529,399,506,95.8018789
301,1545,323,1510,41.34005322
260,1280,372,1246,117.0469991
188,755,248,737,62.64183905
177,758,247,736,73.37574531
177,848,315,821,140.6164997
170,780,237,754,71.86793444
163,780,236,756,76.84399781
932,523,1110,517,178.1010949
498,1001,683,991,185.2700731
1214,818,1382,809,168.2408987
1348,1176,1470,1243,139.1869247
553,856,748,846,195.2562419
623,1187,859,1153,238.4365744
1328,1196,1515,1207,187.32325
924,1379,1098,1383,174.0459709
892,622,1085,625,193.0233147
1060,616,1257,626,197.2536438
989,1173,1209,1180,220.1113355
1008,1257,1189,1270,181.4662503
1074,1481,1215,1493,141.509717
950,672,1144,672,194
786,1335,964,1326,178.2273829
612,1382,795,1373,183.2211778
508,363,582,346,75.92759709
1676,560,1636,500,72.11102551
1639,1547,1698,1606,83.43860018
1453,1199,1604,1222,152.7416119
1044,1474,1234,1458,190.6724941
