row_index,BX,BY,EX,EY,mode,start_obstime,end_obstime,time_source,time_delta_days,conversion_ok,accepted,reject_reason,effective_b0_deg,effective_b0_source,start_radius_fraction,end_radius_fraction,latitude_deg,delta_lat_deg,cmd_start_deg,cmd_end_deg,abs_cmd_deg,synodic_delta_lon_deg,carrington_delta_lon_deg,synodic_rate_deg_per_day,sidereal_rate_deg_per_day,sidereal_rate_nhz,sidereal_period_days
1,1832.0,825.0,1873.0,900.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.9246053545856173,0.9533417508045897,7.772824669579149,-4.207856225953393,65.68338619569207,71.43616183222883,71.43616183222883,5.752775636536768,-7.445974194484717,5.752775636536768,6.738422968635851,216.64168494842633,53.42496332979222
2,1817.0,960.0,1889.0,980.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8839760066013747,0.9623537246553497,0.7510179830799015,0.14503380495245832,61.78417442278965,73.98934070535215,73.98934070535215,12.205166282562516,-0.9935835484589681,12.205166282562516,13.1908136146616,424.08737187055044,27.291720625925585
3,1816.0,935.0,1890.0,980.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8855388259956076,0.9634634027274008,1.5657064510690133,-1.427355407642622,61.726536583469674,74.22329663320319,74.22329663320319,12.496760049733524,-0.7019897812879599,12.496760049733524,13.482407381832608,433.4621714838159,26.701462862270127
4,1810.0,940.0,1890.0,978.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8783064512015281,0.9635787205087522,1.4236551901157761,-0.8846135787892118,60.90288096815437,74.23062216020082,74.23062216020082,13.32774119204646,0.12899136102497621,13.32774119204646,14.313388524145545,460.17838619295094,25.151277029384673
5,1807.0,975.0,1888.0,980.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8717018971706235,0.9612440498940891,0.18234332894935013,1.2262786960613072,60.4614973986862,73.75874066486227,73.75874066486227,13.297243266176082,0.09849343515459807,13.297243266176082,14.282890598275166,459.1978716009249,25.20498196936931
6,1798.0,970.0,1889.0,980.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8620904824900921,0.9623537246553497,0.29412860957569054,1.0588125519608802,59.31739702333776,73.98934070535215,73.98934070535215,14.671943682014387,1.473193850992903,14.671943682014387,15.657591014113471,503.39477283029424,22.992042624916085
7,1745.0,833.0,1839.0,852.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8287444020629142,0.9255021993424188,8.114778662981038,0.10238822371105805,54.009143089565164,66.1817733111923,66.1817733111923,12.172630221627145,-1.026119609394339,12.172630221627145,13.15827755372623,423.04133081681556,27.359204009042454
8,1741.0,810.0,1840.0,854.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8313940397806061,0.9261336063388065,8.805976498423327,-1.5127120182567246,53.89047785846938,66.30373516108222,66.30373516108222,12.413257302612834,-0.7854925284086498,12.413257302612834,13.398904634711919,430.7775409822505,26.867867920140633
9,1739.0,1171.0,1866.0,1190.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8110608812453106,0.9535638157025904,-13.188456525401357,0.8643735734226219,54.82872368245421,73.5831988909733,73.5831988909733,18.754475208519096,5.5557253774976125,18.754475208519096,19.74012254061818,634.6490014344838,18.23696885666477
10,1735.0,846.0,1839.0,852.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8143807766534744,0.9255021993424188,7.625500612148221,1.0809443253766906,52.757260291969985,66.1817733111923,66.1817733111923,13.424513019222331,0.2257631882008475,13.424513019222331,14.410160351321416,463.2896203485538,24.982372938479333
11,1735.0,815.0,1840.0,852.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8234240465846422,0.9265893919285759,8.671008433411618,-0.9712928280712632,53.14891493269037,66.3478951846498,66.3478951846498,13.198980251959426,0.00023042093794245488,13.198980251959426,14.18462758405851,456.0386954751322,25.379587716817355
12,1729.0,1429.0,1770.0,1467.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.9033886821911769,0.9640225651782428,-30.732731206016982,-1.4278570902181116,64.78114398909715,76.309888418563,76.309888418563,11.52874442946586,-1.670005401555624,11.52874442946586,12.514391761564944,402.3402701120417,28.766879514324987
13,1726.0,846.0,1839.0,852.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8046838195109406,0.9255021993424188,7.577031023545924,1.1778835025812837,51.79821461129283,66.1817733111923,66.1817733111923,14.383558699899481,1.1848088688779974,14.383558699899481,15.369206031998566,494.1231363168264,23.423461124177972
14,1655.0,1480.0,1695.0,1490.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8650247980460259,0.9077152161224614,-34.472555818689514,-0.04926392839757199,58.23364378492416,64.77368113877036,64.77368113877036,6.540037353846202,-6.658712477175283,6.540037353846202,7.5256846859452855,241.9523111479323,47.83617903528749
15,1651.0,998.0,1811.0,1026.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.697265381576971,0.8744472681021755,-3.568030435667871,-0.10172602999751579,44.2652702599344,61.18631604849512,61.18631604849512,16.92104578856072,3.7222959575392345,16.92104578856072,17.906693120659803,575.70386833397,20.104214528848484
16,1631.0,730.0,1727.0,746.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7493906990035881,0.8399684003462552,13.864336036265712,-0.15537277211574896,44.02057714254311,53.54103146814945,53.54103146814945,9.520454325606352,-3.6782955054151323,9.520454325606352,10.506101657705436,337.7733300445421,34.26580207664058
17,1605.0,1359.0,1717.0,1385.0,pooled,,,folder_dates,1.0,True,False,cmd_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7451787423327986,0.8682108749933912,-27.16991503556379,-0.4656191399194718,46.39563849376376,60.14854686899222,60.14854686899222,13.752908375228458,0.5541585442069739,13.752908375228458,14.738555707327542,473.84759861521167,24.42573120112573
18,1594.0,1271.0,1712.0,1287.0,pooled,,,folder_dates,1.0,True,False,cmd_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.69023971502481,0.8183942422833076,-21.25986974629228,0.06533907673752992,42.82277502095428,55.09336302454643,55.09336302454643,12.270588003592138,-0.9281618274293457,12.270588003592138,13.256235335691223,426.1906936629123,27.157031456037323
19,1581.0,1673.0,1590.0,1690.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.9502761132207967,0.9711339941367005,-49.40439508617271,-0.8443088658969415,70.56285161721357,77.1266191643373,77.1266191643373,6.563767547123746,-6.634982283897739,6.563767547123746,7.549414879222829,242.71524174456115,47.685814829275884
20,1574.0,1139.0,1713.0,1131.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.6243267979330087,0.7747321321225872,-12.187958685266405,1.6127302960007786,38.84174803499364,51.34419865951724,51.34419865951724,12.50245062452359,-0.6962992064978941,12.50245062452359,13.488097956622674,433.6451246342167,26.69019762146964
21,1562.0,783.0,1691.0,739.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.6550139005216173,0.8059301810889845,11.854591792755208,4.0430629680918155,37.350576475162136,49.76392530832037,49.76392530832037,12.413348833158238,-0.7854009978632455,12.413348833158238,13.398996165257323,430.7804837081187,26.86768438171923
22,1556.0,1204.0,1707.0,1258.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.6240291224606527,0.8021922124273037,-18.347663689616446,-2.1961183526788055,38.239517453858625,53.59062354580799,53.59062354580799,15.351106091949362,2.1523562609278777,15.351106091949362,16.336753424048446,525.2299840550555,22.036202093254563
